video_id;labels;conf
-3h4Xt9No9o;;
-43MBOJnVks;person;0.9894899129867554
-39ysKKpE7I;person;0.9942561984062196
-39ysKKpE7I;tie;0.9438908100128174
-39ysKKpE7I;person;0.779719889163971
-5WBCrazSfg;person;0.8227469325065613
-66xHRJSPxs;dog;0.9623264074325562
-66xHRJSPxs;person;0.9315003156661988
-66xHRJSPxs;person;0.9186881780624391
-66xHRJSPxs;person;0.8661161065101624
-66xHRJSPxs;person;0.7888526320457458
-5aaJJQFvOg;person;0.9949158430099488
-5aaJJQFvOg;person;0.986579656600952
-5aaJJQFvOg;person;0.9725884795188904
-5aaJJQFvOg;person;0.9606764912605286
-5aaJJQFvOg;person;0.9288123846054076
-5aaJJQFvOg;person;0.8159615397453308
-5aaJJQFvOg;person;0.7543376684188843
-5aaJJQFvOg;tie;0.7070128321647644
-3VBPAZPTQI;person;0.9938228130340576
-3VBPAZPTQI;person;0.9736859202384948
-3nEHRN6IPg;;
-4s2MeUgduo;person;0.7998730540275574
-4s2MeUgduo;person;0.7444611191749573
--uXQQ0h-yQ;person;0.8270201683044434
--uXQQ0h-yQ;person;0.7780230641365051
--uXQQ0h-yQ;person;0.6990239024162292
-gfGtIHfU7A;;
-EL8TuMsb-k;person;0.9986259341239928
-EL8TuMsb-k;person;0.9867030382156372
-EL8TuMsb-k;person;0.9153675436973572
-EL8TuMsb-k;person;0.8634086847305298
-EL8TuMsb-k;person;0.6068978309631348
-hg_VRwS5RI;;
-El8z4uy5Ac;;
-Gptp_ui-Sg;;
-hI5Ds3IgVM;;
-GvVeT7pNT8;person;0.9980884790420532
-GZZ-KSfuCw;person;0.999813437461853
-GZZ-KSfuCw;person;0.7907270789146423
-e-xXN-tcFU;person;0.9581667184829712
-DRsfNObKIQ;;
-C_rvt0SwLE;;
-cQoGwpDBPs;tie;0.7630690336227417
-cQoGwpDBPs;traffic light;0.5637495517730713
-BDImdAfodA;person;0.9900091886520386
-CCw4ZzOGlI;;
-CS84oCtjvc;;
-BQJo3vK8O8;tv;0.6843829751014711
-crLmRLgeNE;tv;0.6171579957008362
-bx_vG94LSo;tv;0.6488210558891296
-C5q3oir8gA;person;0.9804711937904358
-C5q3oir8gA;person;0.6529853343963623
-B7J36GNaDk;person;0.9284753203392028
-B7J36GNaDk;person;0.5289217829704285
-8ZHXaGILlc;person;0.9463244676589966
-9rdDeWzvsU;person;0.9927445054054259
-9rdDeWzvsU;person;0.97819846868515
-9rdDeWzvsU;person;0.9589340090751648
-7_ATlZ-zMc;car;0.8181948065757751
-A9rYcBmBFo;person;0.6751362085342407
-a12nTEcoqE;person;0.9953981041908264
-7tSTUR7FG0;person;0.9994259476661682
-7tSTUR7FG0;person;0.9895850419998168
-7tSTUR7FG0;person;0.985193371772766
-7tSTUR7FG0;person;0.9023563861846924
-7tSTUR7FG0;horse;0.9007384181022644
-AY-HC4sUGU;airplane;0.9609873294830322
-7UzyXO-mzk;;
-8X32zNup1o;person;0.9620243310928344
-8X32zNup1o;person;0.6244316101074219
069D0NmW39o;person;0.9926912784576416
069D0NmW39o;person;0.962826371192932
02N508BDngc;tv;0.5750592350959778
00nmxR1mxIA;person;0.997151494026184
00nmxR1mxIA;person;0.5788511037826538
0-M5C7sQdGI;person;0.9913330674171448
0-M5C7sQdGI;tie;0.9569869041442872
00RpZZThSAs;person;0.9953035712242126
00RpZZThSAs;cup;0.9463931918144226
0-7wMD5ISIs;;
-_jlqATo9eo;person;0.9988369941711426
0-VAnh7r-_8;;
00mdcc9o28A;person;0.8729566335678101
0-_h-qFt_zs;person;0.9892996549606324
0-_h-qFt_zs;person;0.9890756011009216
-YRlVB6Qgug;person;0.7569536566734314
-7AZX5Xtiks;person;0.909318745136261
-yMXWp-Fh3g;person;0.9912101030349731
-V1Oo7srGf0;;
-v-_Z11T5L4;;
-2RVw2_QyxQ;person;0.9940711855888368
-2RVw2_QyxQ;person;0.9596691131591796
-2RVw2_QyxQ;person;0.9572045803070068
-2RVw2_QyxQ;person;0.9484890699386596
-2RVw2_QyxQ;person;0.9309406876564026
-2RVw2_QyxQ;person;0.914362132549286
-2RVw2_QyxQ;person;0.8633691668510437
-2RVw2_QyxQ;person;0.8294368982315063
-su6If-bd4U;person;0.9707593321800232
-t1q78GYNww;person;0.8392340540885925
-sXnoM6rDB4;person;0.9961174130439758
-sXnoM6rDB4;chair;0.6382551789283752
-sXnoM6rDB4;chair;0.5067545175552368
-t5YLGn3VHQ;;
-TQpVg4vcrk;person;0.999387502670288
-TQpVg4vcrk;person;0.9956088662147522
-trTIbE3N4Y;;
-tjucPZlcgc;person;0.8997055292129517
-tjucPZlcgc;person;0.7047784328460693
-txKpma65ZU;person;0.992605984210968
-uuq9V38Akw;person;0.9860112071037292
-SJywvgaJEI;person;0.999406099319458
-SJywvgaJEI;cell phone;0.7828976511955261
-R9F2_D76TE;;
-QPdRfqTnt4;;
-RmUADCWI4A;person;0.9987247586250304
-QxZv_wJ1aA;dog;0.9556630253791808
-Qv6p6pTz5I;person;0.9747465252876282
-py2awmME8s;person;0.999014377593994
-ppaazmNIgA;person;0.9758349061012268
-SIp6xSP7ds;person;0.9966138005256652
-SIp6xSP7ds;person;0.9948182702064514
-2b4qSoMnKE;person;0.909199357032776
-2b4qSoMnKE;tie;0.5537980198860168
-RUbNqpwOt8;person;0.8109954595565796
-p2lhxUqMMQ;;
-oOlAGKBXnA;person;0.8644818067550659
-OK9i1_YYYc;giraffe;0.829055666923523
-oXybog2IuI;;
-NIP2zgVsRY;person;0.7858884930610657
-NIP2zgVsRY;banana;0.5848685503005981
-oCQn2VkStI;person;0.8918144106864929
-oCQn2VkStI;person;0.8173905611038208
-o7zywbiFVI;person;0.9979993104934692
-o7zywbiFVI;cup;0.5083332657814026
-p-PToD2URA;;
-PJaVBbRKcI;person;0.9083408117294312
-PJaVBbRKcI;person;0.8125343918800354
-pCzLbCCppo;;
-0CMnp02rNY;person;0.8923106193542479
-0CMnp02rNY;person;0.8774420022964478
-NEhvlJA5q8;;
-1Hm41N0dUs;person;0.7278581261634827
-2wRFv-mScQ;person;0.934051275253296
-2wRFv-mScQ;person;0.6007017493247986
-35jibKqbEo;;
-37nIo_tLnk;;
-l7TOYJZBtI;person;0.9980403780937196
-l7TOYJZBtI;person;0.9846993684768676
-l6wrTvMcbY;person;0.9886691570281982
-l6wrTvMcbY;person;0.9099864959716796
-l6wrTvMcbY;person;0.6339813470840454
-mNlASb89Wo;vase;0.521967351436615
-N5eucPMTTc;person;0.6137982606887817
-NcG4L0pwvE;person;0.9872443079948424
-m3L9lA5_tA;person;0.9377849698066713
-mvfLtZTe3Q;;
-lgcAySBbTA;person;0.9898247122764589
-lgcAySBbTA;person;0.7589959502220154
-lgcAySBbTA;person;0.5648646950721741
-lgcAySBbTA;person;0.5115743279457092
-nbm90xAhWY;;
-mZZAvIHMvQ;;
-2aVkGcI7ZA;person;0.9890486598014832
-2aVkGcI7ZA;person;0.988699734210968
-0NYY8cqdiQ;person;0.9974949955940248
-0NYY8cqdiQ;person;0.7988561987876892
-0NYY8cqdiQ;cup;0.5291536450386047
-KB5QbOS4s4;person;0.9721356630325316
-KB5QbOS4s4;person;0.9371410608291626
-kTWIm7m4Uw;person;0.8005246520042419
-IqpbDJFbZA;laptop;0.905889928340912
-IqpbDJFbZA;person;0.8526232838630676
-IqpbDJFbZA;person;0.6102144718170166
-kETYvHON_I;;
-HrakxB4Klo;person;0.9702959656715392
-jWIDwq44ZI;person;0.9901419281959534
-JVITToppE0;person;0.9915454387664796
